"Catalog Permissions cache","Catalog Permissions cache"
"Disabled products and categories by customer group","Disabled products and categories by customer group"
"%s is not for sale","%s is not for sale"
"Hide price for group","Hide price from group"
"Catalog Permissions","Catalog Permissions"
"Disable product for","Disable product for"
"Hide product price for","Hide product price from"
"Notice for product with disabled price to explain to customer","Notice for product with disabled price to explain to customer"
"Permissions","Permissions"
"Product with disabled price notice","Text displayed when price is hidden"
"Redirect from category","Redirect from category page to"
"Redirect from category tooltip","Customer with insufficient access permissions will be redirected to the specified page. Enter the whole URL or just a short part to redirect within the store. For example, you can enter either 'http://example.com/customer-service' or 'customer-service' without quotes."
"Redirect from category notice"," Notice shown after redirection from category page"
"Redirect from category notice tooltip","Notice shown to visitors after redirection from inaccessible category page. You can use some HTML tags."
"Redirect from product","Redirect from product page to"
"Redirect from product tooltip","Customer with insufficient access permissions will be redirected to the specified page. Enter the whole URL or a short part to redirect within the store. For example, you can enter either 'http://example.com/customer-service' or 'customer-service' without quotes."
"Redirect from product notice"," Notice shown after redirection from product page"
"Redirect from product notice tooltip","Notice shown to visitors after redirection from inaccessible product page. You can use some HTML tags"
"Hide category for a specific customer group","Hide category from a specific customer group"
"You do not have permission to access this page","You do not have permission to access this page"
"This value adds to %s","This value adds to %s"
"global value","global value"
