"Facebook session does not exist.","Facebook session does not exist."
"This facebook user is not registered with this store.","This facebook user is not registered with this store."
"This facebook user is already registered with this store. Please log in!","This facebook user is already registered with this store. Please log in!"
"Facebook user? Use a form below","Facebook user? Use a form below"
"Fast sign up with Facebook","Fast sign up with Facebook"
"Email Address","Email Address"
"Error during registering with %s.","Error during registering with %s."
"Password","Password"
"Confirm Password","Confirm Password"
"Sign Up for Newsletter","Sign Up for Newsletter"
"* Required Fields","* Required Fields"
"Register","Register"
"Fast login with Facebook","Fast login with Facebook"
"Have an account here and on Facebook? Click the button below to login.","Have an account here and on Facebook? Click the button below to login."
"Login","Login"
"Login via Facebook","Login via Facebook"
"Facebook Link","Facebook Link"
"Facebook Settings","Facebook Settings"
"Enabled","Enabled"
"API Key","API Key"
"Secret","Secret"
"Customer Wall update","Customer Wall update"
"Publish a post into the stream on the user's Facebook Page's Wall and News Feed.&lt;br /&gt;Available variables:&lt;br /&gt;&lt;b&gt;{items_count}&lt;/b&gt; - number of items purchased&lt;br /&gt;&lt;b&gt;{store_link}&lt;/b&gt; - link to your store","Publish a post into the stream on the user's Facebook Page's Wall and News Feed.&lt;br /&gt;Available variables:&lt;br /&gt;&lt;b&gt;{items_count}&lt;/b&gt; - number of items purchased&lt;br /&gt;&lt;b&gt;{store_link}&lt;/b&gt; - link to your store"
"Action Link text template","Action Link text template"
"Available variables:&lt;br /&gt;&lt;b&gt;{items_count}&lt;/b&gt; - number of items purchased&lt;br /&gt;&lt;b&gt;{item_name}&lt;/b&gt; - item name&lt;br /&gt;&lt;b&gt;{item_price}&lt;/b&gt; - item price","Available variables:&lt;br /&gt;&lt;b&gt;{items_count}&lt;/b&gt; - number of items purchased&lt;br /&gt;&lt;b&gt;{item_name}&lt;/b&gt; - item name&lt;br /&gt;&lt;b&gt;{item_price}&lt;/b&gt; - item price"
"Action Link template","Action Link template"
"Available variables:&lt;br /&gt;&lt;b&gt;{item_link}&lt;/b&gt; - link to the item purchased&lt;br /&gt;&lt;b&gt;{store_link}&lt;/b&gt; - link to your store","Available variables:&lt;br /&gt;&lt;b&gt;{item_link}&lt;/b&gt; - link to the item purchased&lt;br /&gt;&lt;b&gt;{store_link}&lt;/b&gt; - link to your store"
"Number of items to post","Number of items to post"
"0 - all items","0 - all items"
"You have to submit this form only once - we need to establish linking between your Facebook account and you account on our store. Future logins will be quick!","You have to submit this form only once - we need to establish linking between your Facebook account and you account on our store. Future logins will be quick!"
"Login","Login"
"Cancel","Cancel"
"Application","Application"
"Test Application","Test Application"
"Send Button","Send Button"
"Show Send Button","Show Send Button"
"Your Wishlist has been shared.","Your Wishlist has been shared."
"Your Wishlist has not been shared.","Your Wishlist has not been shared."
"Publish a wishlist into the stream on the user's Facebook Page's Wall. <br />Available variables:<br /><b>{store_link}</b>  -  link to your store<br /><b>{wishlist_link}</b>  -  link to customer's Wishlist","Publish a wishlist into the stream on the user's Facebook Page's Wall. <br />Available variables:<br /><b>{store_link}</b>  -  link to your store<br /><b>{wishlist_link}</b>  -  link to customer's Wishlist"
"Share via Facebook","Share via Facebook"
"Customer Wishlist Share Wall update","Customer Wishlist Share Wall update"
"Unable to log in with Facebook. Please, try again later.","Unable to log in with Facebook. Please, try again later."
"Facebook Unlike","Facebook Unlike"
"Facebook Like","Facebook Like"
"Like and get <b>%s</b> point(s)","Like and get <b>%s</b> point(s)"
"Please log in","Please log in"
"Already liked","Already liked"
"Please wait %s seconds","Please wait %s seconds"
"You've already reached the ""like"" limit","You've already reached the ""like"" limit"
"For <a href=""http://ecommerce.aheadworks.com/magento-extensions/facebook-link.html"" target=""_blank"">Facebook</a> Like","For <a href=""http://ecommerce.aheadworks.com/magento-extensions/facebook-link.html"" target=""_blank"">Facebook</a> Like"
"Create New Customer Account","Create New Customer Account"
"You've just got <b>%s</b> point(s)","You've just got <b>%s</b> point(s)"
